Município,Aprovou?,Data aprovação,População,Projeto?,Aprovado?,Sancionado?
Fortaleza/CE,Sim,09/09/2021,2.703.391,,,
Juazeiro do Norte/CE,Sim,16/06/2021,278.264,,,
Sobral/CE,Sim,10/12/2019,210.711,,,
Russas/CE,Sim,01/10/2021,79.550,,,
Itapajé/CE,Sim,01/08/2022,53.448,,,
Mauriti/CE,Sim,23/08/2021,48.370,,,
Ipu/CE,Sim,22/05/2023,42.148,,,
Varzea Alegre/CE,Sim,04/04/2022,40.903,,,
Marco/CE,Sim,20/12/2022,27.822,,,
Milagres/CE,Sim,21/01/2020,27.413,,,
Ibiapina/CE,Sim,18/12/2019,25.165,,,
Irauçuba/CE,Sim,24/02/2023,24.450,,,
Jijoca de Jericoacoara/CE,Sim,10/03/2020,20.351,,,
Aiuaba/CE,Sim,13/09/2021,17.584,,,
Tururu/CE,Sim,11/12/2019,16.588,,,
Apuiarés/CE,Sim,14/06/2022,14.776,,,
General Sampaio/CE,Sim,26/04/2023,7.767,,,
Caucaia/CE,Não,,362.223,Não,,
Maracanaú/CE,Não,,230.986,Não,,
Crato/CE,Não,,133.031,Não,,
Maranguape/CE,Não,,131.677,Não,,
Itapipoca/CE,Não,,130.539,Não,,
Iguatu/CE,Não,,103.074,Não,,
Pacatuba/CE,Não,,82.824,Não,,
Quixeramobim/CE,Não,,82.455,Não,,
Quixadá/CE,Não,,80.604,Não,,
Tianguá/CE,Não,,77.111,Não,,
Cratéus/CE,Não,,75.159,Não,,
Aracati/CE,Não,,74.975,Não,,
Canindé/CE,Não,,74.486,Não,,
Pacajus/CE,Não,,73.188,Não,,
Cascavel/CE,Não,,72.706,Não,,
Aquiraz/CE,Não,,72.651,Não,,
Icó/CE,Não,,68.303,Não,,
Camocim/CE,Não,,63.907,Não,,
Barbalha/CE,Não,,61.662,Não,,
Morada Nova/CE,Não,,61.590,Não,,
Viçosa do Ceará/CE,Não,,61.410,Não,,
Acaraú/CE,Não,,57.542,Não,,
Trairi/CE,Não,,56.653,Não,,
Limoeiro do Norte/CE,Não,,56.255,Não,,
Tauá/CE,Não,,55.755,Não,,
Horizonte/CE,Não,,55.154,Não,,
Granja/CE,Não,,54.962,Não,,
Acopiara/CE,Não,,54.687,Não,,
Boa Viagem/CE,Não,,54.680,Não,,
Eusebio/CE,Não,,54.337,Não,,
Beberibe/CE,Não,,54.315,Não,,
Brejo Santo/CE,Não,,49.842,Não,,
São Benedito/CE,Não,,48.354,Não,,
Amontada/CE,Não,,44.195,Não,,
São Gonçalo do Amarante/CE,Não,,43.947,Não,,
Mombaça/CE,Não,,43.917,Não,,
Santa Quitéria/CE,Não,,43.719,Não,,
Pedra Branca/CE,Não,,43.309,Não,,
Itarema/CE,Não,,41.826,Não,,
Guaraciaba do Norte/CE,Não,,40.921,Não,,
Massapê/CE,Não,,39.341,Não,,
Itaitinga/CE,Não,,38.325,Não,,
Ipueiras/CE,Não,,38.114,Não,,
Pentecoste/CE,Não,,37.900,Não,,
Baturité/CE,Não,,35.941,Não,,
Missão Velha/CE,Não,,35.566,Não,,
Paracuru/CE,Não,,35.526,Não,,
Ubajara/CE,Não,,35.295,Não,,
Jaguaribe/CE,Não,,34.592,Não,,
Jaguaruana/CE,Não,,33.960,Não,,
Paraipaba/CE,Não,,33.232,Não,,
Bela Cruz/CE,Não,,32.851,Não,,
Santana do Acaraú/CE,Não,,32.851,Não,,
Nova Russas/CE,Não,,32.487,Não,,
Tabuleiro do Norte/CE,Não,,32.079,Não,,
Lavras da Mangabeira/CE,Não,,31.476,Não,,
Parambu/CE,Não,,31.391,Não,,
Redenção/CE,Não,,29.238,Não,,
Novo Oriente/CE,Não,,28.737,Não,,
Campos Sales/CE,Não,,27.513,Não,,
Jardim/CE,Não,,27.187,Não,,
Caririaçu/CE,Não,,27.008,Não,,
Aracoiaba/CE,Não,,26.600,Não,,
Guaiúba/CE,Não,,26.508,Não,,
Tamboril/CE,Não,,26.199,Não,,
Independência/CE,Não,,26.196,Não,,
Ocara/CE,Não,,25.958,Não,,
Cedro/CE,Não,,25.612,Não,,
Senador Pompeu/CE,Não,,25.418,Não,,
Cruz/CE,Não,,25.121,Não,,
Jucás/CE,Não,,24.949,Não,,
Forquilha/CE,Não,,24.680,Não,,
Aurora/CE,Não,,24.567,Não,,
Assaré/CE,Não,,23.537,Não,,
Coreaú/CE,Não,,23.340,Não,,
Caridade/CE,Não,,23.011,Não,,
Barro/CE,Não,,22.834,Não,,
Morrinhos/CE,Não,,22.830,Não,,
Barreira/CE,Não,,22.715,Não,,
Quixeré/CE,Não,,22.432,Não,,
Uruburetama/CE,Não,,22.223,Não,,
Itatira/CE,Não,,22.018,Não,,
Araripe/CE,Não,,21.707,Não,,
Orós/CE,Não,,21.342,Não,,
Quiterianópolis/CE,Não,,21.246,Não,,
Catarina/CE,Não,,21.041,Não,,
Pindoretama/CE,Não,,20.964,Não,,
Itapiúna/CE,Não,,20.653,Não,,
Chorozinho/CE,Não,,20.286,Não,,
Icapuí/CE,Não,,20.183,Não,,
Hidrolândia/CE,Não,,20.126,Não,,
Madalena/CE,Não,,20.031,Não,,
Umirim/CE,Não,,19.976,Não,,
Tejuçuoca/CE,Não,,19.551,Não,,
Farias Brito/CE,Não,,19.330,Não,,
Cariús/CE,Não,,18.700,Não,,
Varjota/CE,Não,,18.520,Não,,
Cariré/CE,Não,,18.470,Não,,
Solonópole/CE,Não,,18.389,Não,,
Banabuiú/CE,Não,,18.313,Não,,
Reriutaba/CE,Não,,18.279,Não,,
Croatá/CE,Não,,18.201,Não,,
Jaguaretama/CE,Não,,18.133,Não,,
Capistrano/CE,Não,,17.830,Não,,
Carnaubal/CE,Não,,17.763,Não,,
Santana do Cariri/CE,Não,,17.726,Não,,
Monsenhor Tabosa/CE,Não,,17.264,Não,,
Piquet Carneiro/CE,Não,,17.210,Não,,
Fortim/CE,Não,,16.776,Não,,
Salitre/CE,Não,,16.714,Não,,
Pereiro/CE,Não,,16.356,Não,,
Quixelô/CE,Não,,16.116,Não,,
Alto Santo/CE,Não,,16.077,Não,,
Nova Olinda/CE,Não,,15.798,Não,,
Saboeiro/CE,Não,,15.757,Não,,
Meruoca/CE,Não,,15.309,Não,,
Acarape/CE,Não,,15.140,Não,,
Barroquinha/CE,Não,,15.069,Não,,
Porteiras/CE,Não,,14.920,Não,,
Mucambo/CE,Não,,14.561,Não,,
Graça/CE,Não,,14.415,Não,,
Iracema/CE,Não,,14.351,Não,,
Frecheirinha/CE,Não,,14.195,Não,,
Uruoca/CE,Não,,13.988,Não,,
Miraíma/CE,Não,,13.965,Não,,
Choró/CE,Não,,13.608,Não,,
Palmácia/CE,Não,,13.553,Não,,
Ibaretama/CE,Não,,13.385,Não,,
Milhã/CE,Não,,13.129,Não,,
Chaval/CE,Não,,13.112,Não,,
São Luís do Curu/CE,Não,,13.086,Não,,
Ibicuitinga/CE,Não,,12.730,Não,,
Ipaumirim/CE,Não,,12.507,Não,,
Poranga/CE,Não,,12.358,Não,,
Pacoti/CE,Não,,12.313,Não,,
Paramoti/CE,Não,,12.276,Não,,
Abaiara/CE,Não,,11.965,Não,,
Alcântaras/CE,Não,,11.846,Não,,
Aratuba/CE,Não,,11.759,Não,,
Ipaporanga/CE,Não,,11.597,Não,,
Jaguaribara/CE,Não,,11.580,Não,,
Martinópole/CE,Não,,11.407,Não,,
Groaíras/CE,Não,,11.219,Não,,
Potengi/CE,Não,,11.165,Não,,
Mulungu/CE,Não,,11.056,Não,,
Pires Ferreira/CE,Não,,11.052,Não,,
Ararendá/CE,Não,,10.983,Não,,
Catunda/CE,Não,,10.410,Não,,
Deputado Irapuan Pinheiro/CE,Não,,9.698,Não,,
Palhano/CE,Não,,9.458,Não,,
Penaforte/CE,Não,,9.207,Não,,
Moraújo/CE,Não,,8.833,Não,,
Tarrafas/CE,Não,,8.555,Não,,
Jati/CE,Não,,8.150,Não,,
Itaiçaba/CE,Não,,7.904,Não,,
Arneiroz/CE,Não,,7.848,Não,,
Senador Sá/CE,Não,,7.758,Não,,
Umari/CE,Não,,7.740,Não,,
Altaneira/CE,Não,,7.712,Não,,
São João do Jaguaribe/CE,Não,,7.557,Não,,
Antonina do Norte/CE,Não,,7.402,Não,,
Ereré/CE,Não,,7.254,Não,,
Pacujá/CE,Não,,6.565,Não,,
Potiretama/CE,Não,,6.455,Não,,
Baixio/CE,Não,,6.318,Não,,
Guaramiranga/CE,Não,,5.073,Não,,