Município,Aprovou?,Data aprovação,Atualização,População,Projeto?,Aprovado?,Sancionado?,Observação
Belo Horizonte/MG,Sim,19/12/2019,,2.530.701,,,,Dispensa menos atividades (275) do que o nível federal (297) e estadual (701)
Contagem/MG,Sim,25/09/2019,,668.949,,,,
Juiz de Fora/MG,Sim,13/04/2021,02/02/2022,573.285,,,,Dispensa menos atividades (578) do que o nível estadual (701)
Montes Claros/MG,Sim,29/10/2019,,413.487,,,,
Ribeirão das Neves/MG,Sim,04/08/2020,,338.197,,,,
Uberaba/MG,Sim,26/07/2019,,337.092,,,,
Governador Valadares/MG,Sim,05/05/2021,,281.046,,,,
Ipatinga/MG,Sim,28/07/2021,,265.409,,,,
Sete Lagoas/MG,Sim,07/04/2020,,241.835,,,,
Divinópolis/MG,Sim,16/12/2019,,240.408,,,,
Santa Luzia/MG,Sim,10/05/2021,,220.444,,,,
Ibirité/MG,Sim,27/10/2021,,182.153,,,,
Poços de Caldas/MG,Sim,24/02/2021,,168.641,,,,
Patos de Minas/MG,Sim,11/09/2020,23/04/2021,153.585,,,,
Pouso Alegre/MG,Sim,15/07/2019,,152.549,,,,
Barbacena/MG,Sim,08/02/2022,23/06/2022,138.204,,,,
Sabará/MG,Sim,22/07/2021,,137.125,,,,
Varginha/MG,Sim,11/01/2021,,136.602,,,,
Vespasiano/MG,Sim,16/06/2021,,129.765,,,,
Conselheiro Lafaiete/MG,Sim,24/06/2021,,129.606,,,,
Itabira/MG,Sim,10/08/2021,05/05/2023,120.904,,,,
Araguari/MG,Sim,04/12/2019,11/03/2022,118.361,,,,
Ubá/MG,Sim,19/08/2021,,117.995,,,,
Passos/MG,Sim,18/11/2021,,115.337,,,,
Coronel Fabriciano/MG,Sim,29/06/2022,,110.290,,,,
Muriaé/MG,Sim,14/09/2021,,109.392,,,,
Araxá/MG,Sim,11/06/2021,,107.337,,,,
Ituiutaba/MG,Sim,12/07/2022,,105.818,,,,
Nova Serrana/MG,Sim,08/01/2020,12/06/2023,105.520,,,,
Lavras/MG,Sim,31/05/2022,,104.783,,,,
Itajubá/MG,Sim,08/12/2021,,97.334,,,,
Nova Lima/MG,Sim,25/05/2021,,96.157,,,,
Pará de Minas/MG,Sim,21/12/2020,,94.808,,,,
Paracatu/MG,Sim,19/07/2021,,93.862,,,,
Itaúna/MG,Sim,17/12/2019,17/09/2021,92.091,,,,
Timóteo/MG,Sim,29/07/2021,,90.568,,,,
São João Del-Rei/MG,Sim,20/10/2021,,90.497,,,,
João Monlevade/MG,Sim,27/04/2021,,80.903,,,,
Curvelo/MG,Sim,21/12/2021,10/06/2022,80.616,,,,
Três Corações/MG,Sim,16/07/2021,,80.032,,,,
Viçosa/MG,Sim,04/06/2019,22/12/2021,79.388,,,,
Cataguases/MG,Sim,24/06/2021,,75.540,,,,
Ouro Preto/MG,Sim,22/12/2020,,74.558,,,,
São Sebastião do Paraíso/MG,Sim,26/07/2021,,71.915,,,,
Januária/MG,Sim,15/06/2021,,67.852,,,,
Formiga/MG,Sim,14/06/2021,,67.822,,,,
Lagoa Santa/MG,Sim,04/08/2021,,66.744,,,,
Pedro Leopoldo/MG,Sim,29/07/2021,,65.149,,,,
Mariana/MG,Sim,05/04/2022,,61.288,,,,
Frutal/MG,Sim,11/05/2021,,60.012,,,,
Ponte Nova/MG,Sim,01/06/2021,,60.003,,,,
Três Pontas/MG,Sim,06/12/2021,,57.097,,,,
Pirapora/MG,Sim,06/04/2022,,56.640,,,,
Campo Belo/MG,Sim,14/06/2021,,54.186,,,,
Lagoa da Prata/MG,Sim,11/02/2021,,52.711,,,,
Itabirito/MG,Sim,01/08/2021,,52.711,,,,
Leopoldina/MG,Sim,16/03/2022,,52.640,,,,
Guaxupé/MG,Sim,24/05/2021,,51.911,,,,
Bom Despacho/MG,Sim,12/04/2021,,51.028,,,,
Bocaiuva/MG,Sim,17/12/2020,,50.521,,,,
Diamantina/MG,Sim,30/11/2021,,47.924,,,,
Santos Dumont/MG,Sim,14/04/2023,,46.421,,,,
São Lourenço/MG,Sim,20/07/2021,,46.202,,,,
Caeté/MG,Sim,11/08/2021,,45.364,,,,
Igarapé/MG,Sim,06/07/2021,,44.561,,,,
Santa Rita do Sapucaí/MG,Sim,30/03/2021,,43.753,,,,
Visconde do Rio Branco/MG,Sim,19/08/2021,,42.965,,,,
Machado/MG,Sim,03/09/2020,,42.413,,,,
Almenara/MG,Sim,05/06/2023,,42.143,,,,
Oliveira/MG,Sim,21/02/2022,,41.840,,,,
Andradas/MG,Sim,13/05/2021,,41.704,,,,
Salinas/MG,Sim,08/12/2021,,41.699,,,,
Nanuque/MG,Sim,18/07/2023,,40.665,,,,
Arcos/MG,Sim,14/09/2020,,40.658,,,,
Ouro Branco/MG,Sim,22/11/2021,,39.867,,,,
Matozinhos/MG,Sim,17/8/2021,,38.469,,,,
Porteirinha/MG,Sim,25/10/2019,,37.823,,,,
Extrema/MG,Sim,12/12/2021,,36.951,,,,
São Gotardo/MG,Sim,30/06/2021,,36.084,,,,
Santana do Paraíso/MG,Sim,10/11/2021,07/03/2022,36.048,,,,
Além Paraíba/MG,Sim,20/04/2023,,35.438,,,,
Guanhães/MG,Sim,27/08/2021,27/09/2022,34.818,,,,
Taiobeiras/MG,Sim,22/10/2021,,34.653,,,,
Sarzedo/MG,Sim,20/08/2021,,34.050,,,,
Ouro Fino/MG,Sim,18/04/2022,,33.938,,,,
Barão de Cocais/MG,Sim,23/07/2021,,33.232,,,,
Três Marias/MG,Sim,15/09/2022,,33.062,,,,
São Joaquim de Bicas/MG,Sim,27/10/2021,,32.696,,,,
Pompéu/MG,Sim,28/03/2022,,32.248,,,,
Santa Barbara/MG,Sim,05/12/2022,,31.873,,,,
Novo Cruzeiro/MG,Sim,20/07/2022,,31.339,,,,
Rio Pardo de Minas/MG,Sim,11/10/2021,,31.171,,,,
Carmo do Paranaíba/MG,Sim,29/07/2021,,30.339,,,,
Cambuí/MG,Sim,08/12/2021,,30.068,,,,
Campos Gerais/MG,Sim,20/04/2022,,28.908,,,,
Prata/MG,Sim,14/06/2022,,28.173,,,,
Coromandel/MG,Sim,01/07/2021,,27.958,,,,
Juatuba/MG,Sim,19/05/2021,,27.823,,,,
Mantena/MG,Sim,10/12/2022,,27.651,,,,
Nepomuceno/MG,Sim,17/05/2021,,26.882,,,,
Coração de Jesus/MG,Sim,30/06/2021,,26.620,,,,
Sacramento/MG,Sim,21/06/2021,,26.556,,,,
Jacutinga/MG,Sim,09/08/2022,,26.538,,,,
São João Nepomuceno/MG,Sim,14/07/2021,,26.530,,,,
Francisco Sá/MG,Sim,02/08/2021,,26.459,,,,
Carandaí/MG,Sim,08/03/2023,,25.831,,,,
São Gonçalo do Sapucaí/MG,Sim,31/05/2023,,25.670,,,,
Espera Feliz/MG,Sim,05/04/2021,,25.287,,,,
Aimorés/MG,Sim,08/12/2021,,25.116,,,,
São José da Lapa/MG,Sim,13/07/2021,27/10/2021,24.501,,,,
Bambuí/MG,Sim,28/03/2022,,23.964,,,,
São João do Paraíso/MG,Sim,05/10/2021,,23.797,,,,
Raul Soares/MG,Sim,17/04/2023,,23.663,,,,
Corinto/MG,Sim,11/10/2022,,23.607,,,,
Itambacuri/MG,Sim,12/11/2021,14/06/2022,23.207,,,,
Conselheiro Pena/MG,Sim,09/08/2021,,22.975,,,,
Carmo do Cajuru/MG,Sim,03/11/2021,,22.900,,,,
Camanducaia/MG,Sim,14/03/2022,,21.831,,,,
Caxambu/MG,Sim,10/02/2020,,21.566,,,,
Monte Santo de Minas/MG,Sim,28/06/2021,,21.504,,,,
Paraisópolis/MG,Sim,01/06/2020,16/11/2022,21.353,,,,
Campestre/MG,Sim,30/04/2021,,21.052,,,,
Medina/MG,Sim,06/10/2022,,20.701,,,,
Jaboticatubas/MG,Sim,05/07/2021,,20.683,,,,
Monte Azul/MG,Sim,02/08/2021,,20.544,,,,
Muzambinho/MG,Sim,24/11/2021,,20.522,,,,
Turmalina/MG,Sim,16/07/2021,,20.280,,,,
Ipanema/MG,Sim,20/09/2021,,20.133,,,,
Santa Vitória/MG,Sim,11/01/2022,,19.997,,,,
Borda da Mata/MG,Sim,30/09/2020,,19.809,,,,
Presidente Olegário/MG,Sim,29/06/2021,,19.680,,,,
Ervália/MG,Sim,27/04/2023,,19.019,,,,
Guaranésia/MG,Sim,05/07/2023,,19.014,,,,
Ipaba/MG,Sim,23/06/2022,,18.926,,,,
Santo Antônio do Amparo/MG,Sim,28/07/2021,,18.697,,,,
Malacacheta/MG,Sim,10/07/2023,,18.556,,,,
Carlos Chagas/MG,Sim,06/12/2022,,18.516,,,,
Luz/MG,Sim,08/04/2021,,18.297,,,,
Lagoa Formosa/MG,Sim,04/10/2021,,18.168,,,,
Arinos/MG,Sim,14/09/2021,,17.850,,,,
Cássia/MG,Sim,26/07/2021,,17.741,,,,
Nova Era/MG,Sim,28/12/2020,,17.524,,,,
Conceição do Mato Dentro/MG,Sim,05/12/2022,,17.438,,,,
Resplendor/MG,Sim,07/12/2021,,17.396,,,,
São Domingos do Prata/MG,Sim,09/09/2022,10/10/2022,17.296,,,,
Nova Resende/MG,Sim,16/03/2021,,16.937,,,,
Campanha/MG,Sim,05/06/2023,,16.855,,,,
Tocantins/MG,Sim,11/04/2023,,16.769,,,,
Raposos/MG,Sim,16/06/2021,,16.501,,,,
Perdizes/MG,Sim,10/01/2022,,16.469,,,,
Itaú de Minas/MG,Sim,23/07/2021,,16.286,,,,
Grão Mogol/MG,Sim,03/08/2021,,15.943,,,,
Felixlândia/MG,Sim,20/10/2022,,15.528,,,,
Capitão Enéas/MG,Sim,02/08/2021,,15.388,,,,
Itapagipe/MG,Sim,17/12/2019,18/04/2023,15.511,,,,
Alvinópolis/MG,Sim,18/11/2022,,15.135,,,,
Botelhos/MG,Sim,17/04/2023,,14.927,,,,
Candeias/MG,Sim,09/08/2022,,14.890,,,,
Bicas/MG,Sim,14/03/2022,,14.612,,,,
Caldas/MG,Sim,09/12/2021,,14.600,,,,
Brazópolis/MG,Sim,24/10/2022,,14.364,,,,
Astolfo Dutra/MG,Sim,10/04/2023,,14.358,,,,
Rio Piracicaba/MG,Sim,29/11/2022,,14.325,,,,
Tarumirim/MG,Sim,26/07/2021,,14.280,,,,
Chapada Gaúcha/MG,Sim,28/07/2021,,14.217,,,,
Cabo Verde/MG,Sim,18/05/2021,,14.074,,,,
Maria da Fé/MG,Sim,18/11/2022,,14.019,,,,
Itaguara/MG,Sim,18/10/2021,,13.510,,,,
Monte Belo/MG,Sim,11/01/2022,,13.139,,,,
Lagoa Dourada/MG,Sim,01/10/2021,,13.115,,,,
Mar de Espanha/MG,Sim,13/04/2022,,12.985,,,,
Itaipé/MG,Sim,10/07/2023,,12.910,,,,
Cambuquira/MG,Sim,15/06/2021,,12.810,,,,
São Geraldo/MG,Sim,10/04/2023,,12.751,,,,
Rio Vermelho/MG,Sim,07/07/2022,,12.635,,,,
Planura/MG,Sim,22/06/2021,,12.445,,,,
Rio Paranaíba/MG,Sim,29/06/2021,,12.356,,,,
Mato Verde/MG,Sim,09/06/2021,,12.367,,,,
Itanhomi/MG,Sim,01/07/2021,,12.259,,,,
Caetanópolis/MG,Sim,16/11/2022,,11.869,,,,
Serra do Salitre/MG,Sim,01/07/2021,,11.750,,,,
Resende Costa/MG,Sim,22/10/2021,,11.578,,,,
Bonito de Minas/MG,Sim,14/03/2023,,11.502,,,,
Antônio Carlos/MG,Sim,28/02/2023,,11.471,,,,
Porto Firme/MG,Sim,03/04/2023,,11.414,,,,
Divisópolis/MG,Sim,26/04/2023,,11.396,,,,
Eugenópolis/MG,Sim,14/04/2023,,11.383,,,,
Itatiaiuçu/MG,Sim,23/11/2021,,11.354,,,,
Engenheiro Caldas/MG,Sim,13/12/2021,,11.268,,,,
São Gonçalo do Rio Abaixo/MG,Sim,16/11/2020,10/11/2021,11.114,,,,
Pedralva/MG,Sim,28/10/2022,,11.098,,,,
Iapu/MG,Sim,28/06/2022,,11.085,,,,
Arceburgo/MG,Sim,14/06/2022,,10.990,,,,
Bueno Brandão/MG,Sim,09/12/2021,,10.982,,,,
São Tiago/MG,Sim,13/10/2021,,10.979,,,,
Prudente de Morais/MG,Sim,21/12/2022,,10.931,,,,
Novo Oriente de Minas/MG,Sim,12/07/2023,,10.800,,,,
Juruaia/MG,Sim,26/07/2021,,10.795,,,,
Pirapetinga/MG,Sim,12/05/2023,,10.791,,,,
Piraúba/MG,Sim,13/04/2023,,10.732,,,,
Rio Acima/MG,Sim,17/06/2021,,10.524,,,,
Recreio/MG,Sim,08/07/2021,,10.522,,,,
Ninheira/MG,Sim,01/10/2021,,10.355,,,,
Buenópolis/MG,Sim,28/06/2021,,10.342,,,,
Dores de Campos/MG,Sim,20/10/2021,,10.291,,,,
Bela Vista de Minas/MG,Sim,05/12/2022,,10.269,,,,
Cristina/MG,Sim,30/12/2019,16/03/2022,10.211,,,,
Itapeva/MG,Sim,08/12/2021,,9.976,,,,
Formoso/MG,Sim,10/05/2022,,9.810,,,,
Frei Inocêncio/MG,Sim,20/07/2021,,9.716,,,,
Riacho dos Machados/MG,Sim,22/09/2022,,9.471,,,,
Cachoeira de Pajeú/MG,Sim,01/10/2021,,9.470,,,,
Açucena/MG,Sim,25/11/2021,,9.270,,,,
Antônio Dias/MG,Sim,13/06/2022,,9.233,,,,
Prados/MG,Sim,14/10/2021,,9.128,,,,
Monsenhor Paulo/MG,Sim,25/05/2023,,8.764,,,,
Santa Cruz de Minas/MG,Sim,08/10/2021,,8.723,,,,
Nazareno/MG,Sim,20/10/2021,,8.710,,,,
Mata Verde/MG,Sim,11/11/2022,,8.700,,,,
Capitólio/MG,Sim,15/06/2021,,8.693,,,,
Piranguinho/MG,Sim,15/03/2022,,8.683,,,,
Pratápolis/MG,Sim,julho/2021,,8.530,,,,
São Gonçalo do Abaeté/MG,Sim,02/07/2021,,8.527,,,,
Ibiaí/MG,Sim,02/09/2021,,8.478,,,,
Campo Florido/MG,Sim,31/01/2020,19/10/2022,8.383,,,,
Guimarânia/MG,Sim,01/07/2021,,8.168,,,,
Tiradentes/MG,Sim,20/10/2021,,8.160,,,,
Riachinho/MG,Sim,28/08/2021,,8.132,,,,
Delfim Moreira/MG,Sim,22/11/2022,,8.007,,,,
Japonvar/MG,Sim,19/09/2022,,7.991,,,,
Iguatama/MG,Sim,15/06/2021,,7.901,,,,
Curral de Dentro/MG,Sim,02/08/2021,,7.867,,,,
Jenipapo de Minas/MG,Sim,23/06/2022,,7.781,,,,
Baldim/MG,Sim,27/10/2021,,7.780,,,,
Serrania/MG,Sim,21/12/2021,21/06/2023,7.667,,,,
Divinolândia de Minas/MG,Sim,20/07/2021,,7.655,,,,
Limeira do Oeste/MG,Sim,15/09/2022,,7.640,,,,
Coimbra/MG,Sim,31/03/2023,,7.631,,,,
Inimutaba/MG,Sim,07/11/2022,,7.605,,,,
Florestal/MG,Sim,01/07/2021,,7.602,,,,
Moema/MG,Sim,04/05/2021,,7.589,,,,
Lagamar/MG,Sim,29/06/2021,,7.588,,,,
São João Batista do Glória/MG,Sim,24/03/2020,,7.541,,,,
Dionísio/MG,Sim,08/01/2022,,7.493,,,,
Alpercata/MG,Sim,06/07/2021,,7.448,,,,
Indaiabira/MG,Sim,22/10/2021,,7.328,,,,
Santo Antônio do Retiro/MG,Sim,05/10/2021,,7.316,,,,
Machacalis/MG,Sim,30/06/2023,,7.112,,,,
Naque/MG,Sim,01/06/2022,,7.104,,,,
São Roque de Minas/MG,Sim,11/11/2021,,7.100,,,,
Iraí de Minas/MG,Sim,10/11/2021,,7.067,,,,
Alfredo Vasconcelos/MG,Sim,27/02/2023,,7.052,,,,
Santana da Vargem/MG,Sim,18/06/2021,,7.047,,,,
Sapucaí-Mirim/MG,Sim,20/10/2022,,7.045,,,,
Guidoval/MG,Sim,28/04/2023,,7.026,,,,
Cabeceira Grande/MG,Sim,31/08/2021,,7.025,,,,
Conquista/MG,Sim,26/11/2021,,6.997,,,,
São Tomás de Aquino/MG,Sim,09/11/2021,,6.980,,,,
Confins/MG,Sim,11/08/2021,,6.867,,,,
Capetinga/MG,Sim,julho/2021,,6.860,,,,
Laranjal/MG,Sim,19/08/2022,,6.856,,,,
Galileia/MG,Sim,24/08/2021,,6.764,,,,
Periquito/MG,Sim,22/06/2022,,6.738,,,,
Dona Euzébia/MG,Sim,23/03/2023,,6.664,,,,
Comercinho/MG,Sim,maio/2022,,6.624,,,,
Lassance/MG,Sim,18/11/2022,,6.494,,,,
Pirajuba/MG,Sim,23/06/2021,,6.491,,,,
Padre Carvalho/MG,Sim,03/08/2021,,6.466,,,,
Vargem Alegre/MG,Sim,16/08/2021,,6.460,,,,
Bom Jardim de Minas/MG,Sim,04/09/2023,,6.444,,,,
Córrego Fundo/MG,Sim,04/04/2022,,6.425,,,,
Sardoá/MG,Sim,21/07/2021,,6.421,,,,
São José do Jacuri/MG,Sim,01/07/2022,,6.409,,,,
Tiros/MG,Sim,30/06/2021,,6.369,,,,
Botumirim/MG,Sim,03/08/2021,,6.259,,,,
Olhos-d'Água/MG,Sim,03/08/2021,,6.243,,,,
Catuji/MG,Sim,03/06/2023,,6.206,,,,
Gonzaga/MG,Sim,06/07/2021,,6.184,,,,
Itueta/MG,Sim,10/08/2021,,6.074,,,,
Cristália/MG,Sim,02/08/2021,,5.992,,,,
Munhoz/MG,Sim,dezembro/2021,,5.960,,,,
Ouro Verde de Minas/MG,Sim,14/07/2023,,5.895,,,,
Frei Gaspar/MG,Sim,21/06/2021,,5.858,,,,
